level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1853	1123	-1	
2	1	1	0	0	0	68	243	382	129	-1	
3	1	1	1	0	0	68	243	382	129	-1	
4	1	1	1	1	0	68	243	382	129	-1	
5	1	1	1	1	1	68	243	382	129	0	﹒
2	1	2	0	0	0	164	476	99	26	-1	
3	1	2	1	0	0	164	476	99	26	-1	
4	1	2	1	1	0	164	476	99	26	-1	
5	1	2	1	1	1	164	476	47	26	96	保
5	1	2	1	1	2	187	472	48	42	96	存
5	1	2	1	1	3	214	477	42	25	96	遊
5	1	2	1	1	4	247	472	18	42	39	戴
2	1	3	0	0	0	164	535	99	25	-1	
3	1	3	1	0	0	164	535	99	25	-1	
4	1	3	1	1	0	164	535	99	25	-1	
5	1	3	1	1	1	151	531	24	42	56	|
5	1	3	1	1	2	164	535	99	25	36	力
2	1	4	0	0	0	162	652	100	26	-1	
3	1	4	1	0	0	162	652	100	26	-1	
4	1	4	1	1	0	162	652	100	26	-1	
5	1	4	1	1	1	162	652	74	26	39	功
5	1	4	1	1	2	237	652	25	25	38	i
2	1	5	0	0	0	163	710	100	27	-1	
3	1	5	1	0	0	163	710	100	27	-1	
4	1	5	1	1	0	163	710	100	27	-1	
5	1	5	1	1	1	163	711	25	26	81	製
5	1	5	1	1	2	188	710	46	26	93	作
5	1	5	1	1	3	238	710	20	25	93	團
5	1	5	1	1	4	249	706	18	43	93	隊
2	1	6	0	0	0	163	766	174	30	-1	
3	1	6	1	0	0	163	766	174	30	-1	
4	1	6	1	1	0	163	766	174	30	-1	
5	1	6	1	1	1	163	769	47	27	95	關
5	1	6	1	1	2	186	762	48	44	96	閉
5	1	6	1	1	3	213	768	45	26	96	回
5	1	6	1	1	4	234	762	48	44	96	到
5	1	6	1	1	5	263	767	46	24	96	主
5	1	6	1	1	6	313	766	17	24	96	選
5	1	6	1	1	7	321	762	18	44	96	單
2	1	7	0	0	0	123	981	36	21	-1	
3	1	7	1	0	0	123	981	36	21	-1	
4	1	7	1	1	0	123	981	36	21	-1	
5	1	7	1	1	1	123	981	36	21	90	131
2	1	8	0	0	0	1471	1002	323	49	-1	
3	1	8	1	0	0	1471	1002	323	49	-1	
4	1	8	1	1	0	1471	1002	323	49	-1	
5	1	8	1	1	1	1471	1002	19	33	8	|
5	1	8	1	1	2	1505	1007	87	26	22	o
5	1	8	1	1	3	1610	996	23	59	0	深
5	1	8	1	1	4	1622	1009	72	36	0	串
5	1	8	1	1	5	1718	1016	19	35	22	剛
